Author,Book,City,Chapter,Page,Location,Latitude,Longitude,Image,Context esp,Context eng,Characters,Reality,Category,Structure type,Exactness
Riera,Naturaleza,Barcelona,6,137,el hotel Claris,41.394099,2.165076,,las madres de Laura se mudan aquí después de la muerte de Laura,Laura's parents move here after Laura's death,Las señoras Cremona-Hogarth,Real,Víctima,Hotel,1
Riera,Naturaleza,Barcelona,6,139,el hotel Claris,41.394819,2.165076,,"Dolors Adrover y Rosa Casasaies hablan con la policía aquí, Josep Lluçanès y Manuela Vázquez","Dolors A and Rosa C visit the police here, interviewed by Llucanes and Manuela V",Mozos,Real,Investigador,Hotel,1
Riera,Naturaleza,Barcelona,6,147,"la Vila Universitaria, UAB",41.499324,2.096812,,la puerta del piso 2 del edificio A había sido forzada,the door of an apartment has been broken into/left open,Narrador,Real,Sospechoso,Home,1
Riera,Naturaleza,Barcelona,6,150,"la Vila Universitaria, UAB",41.500044,2.096812,,Doménica Arrigo fue asesinada en su apartamento,Doménica A was killed in her apartment,Doménica,Real,Cuerpo,Home,2
Riera,Naturaleza,Barcelona,6,152,"la Vila Universitaria, UAB",41.49993856,2.096557441,,las madres de Laura habían recogido las pertenencias de Laura con la ayuda de Doménica,Laura's parents pick up her things here with Doménica's help,Las señoras Cremona-Hogarth,Real,Víctima,Home,1
Riera,Naturaleza,Barcelona,7,158,Hotel Sehrs Campus,41.500465,2.095956,,los policías se reúnen aquí después del descubrimiento del cuerpo de Doménica,The police meet here after finding Doménica's body,Mozos,Real,Investigador,Hotel,1
Riera,Naturaleza,Barcelona,7,166,Hotel Sehrs Campus,41.499745,2.095956,,"Bellpuig y su amante, Mónica, se reunen aquí. Un encuentro casual entre Bellpuig y Doménica en la cafetería","Bellpuig and his current girlfriend/lover, Monica, meet here.  Bellpuig  runs into Doménica in the cafeteria of the hotel","Doménica, Bellpuig",Real,Sospechoso,Hotel,1
Riera,Naturaleza,Barcelona,7,167,"la Vila Universitaria, UAB",41.49942944,2.096557441,,Bellpuig dice que estaba con Doménica aquí la noche del asesinato de Laura,Bellpuig says that he was with Doménica here the night of Laura's death,"Doménica, Bellpuig",Real,Sospechoso,Home,1
Riera,Naturaleza,Barcelona,7,171,Madrid,40.419575,-3.702892,,Bellpuig dice que estaba aquí después de la desaparición de Laura,Bellpuig says that he was here after Laura's dissappearance,Bellpuig,Fictional,Sospechoso,Hotel,5
Riera,Naturaleza,Barcelona,7,175,Hotel Sehrs Campus,41.500105,2.095596,,Bellpuig toma café aquí antes de reunirse con Doménica,Bellpuig has coffee here before the encounter with Doménica,Bellpuig,Real,Sospechoso,Hotel,1
Riera,Naturaleza,Barcelona,8,184,Nápoles,40.855923,14.267381,,la familia Arrigo es de Nápoles,The Arrigo family is from Naples,Narrador,Fictional,Víctima,Home,5
Riera,Naturaleza,Barcelona,8,186,el hotel Casa Fuster,41.397976,2.158072,,un hotel cerca de donde vive Rosa Casasaies. Manuela Vázquez aquí para entrevistarle,A hotel near where Rosa C lives.  Manuela V meets her here,Mozos,Real,Investigador,Hotel,1
Riera,Naturaleza,Barcelona,8,191,Vilanova i la Geltrú,41.219639,1.725156,,Bru está aquí en cama con gripe después de recibir su libertad del juez,"Marcel B is here, in bed with the flu, after being released from police custody by the judge",Bru,Fictional,Sospechoso,Home,5
Riera,Naturaleza,Barcelona,8,192,"la Vila Universitaria, UAB",41.499684,2.096452,,unos testigos relatan que han visto un hombre mayor con Doménica y que salió del apartamento,witnesses say that they saw an older man with Doménica here and she left her apartment with him,Doménica,Real,Sospechoso,Home,2
Riera,Naturaleza,Barcelona,8,197,la Universidad Autónoma de Barcelona,41.50202,2.103888231,,"memorial para Laura y Doménica, Manuela Vázquez y Rosario Hurtado asisten. Bellpuig también está aquí pero sale","Memorial for Laura and Doménica, Manuela V and Rosario H attend. Bellpuig is also here but leaves early",Bellpuig,Real,Sospechoso,Municipal,3
Riera,Naturaleza,Barcelona,8,198,la facultad de Filosofía y Letras,41.503254,2.107509,,"Rosario Hurtado busca a Bellpuig en su oficina, pero está muerto","Rosario H attemps to find Bellpuig in his office, but he is found dead there",Cuerpo,Real,Cuerpo,Municipal,1
Riera,Naturaleza,Barcelona,8,207,el tanatorio de Les Corts,41.38382,2.121457,,"el funeral de Bellpuig está aquí, con algunos invitados destacados","Bellpuig's funeral is here, with some guests noted in novel",Narrador,Real,Víctima,Municipal,1
Riera,Naturaleza,Barcelona,9,210,el Consulado General de Rumanía,41.407716,2.129848,,Manuela Vázquez aquí para hablar con el cónsul rumano,Manuela V goes here to talk to the Romanian consul,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,9,213,la Illa Diagonal,41.389654,2.135108,,tienda en un centro comercial. Esta tienda vende los animales de plástico al asesino,"A mall that has a store that sells plastic animals (and other collectibles), may be the source of the animals used by the killer",Narrador,Real,Sospechoso,Business,2
Riera,Naturaleza,Barcelona,9,218,la facultad de Filosofía y Letras,41.503074,2.107197231,,los okupas deciden retirarse porque los medios de comunicación solamente cubren los asesinatos,The squatters decide to leave because the media is only covering the murders,Narrador,Real,Víctima,Municipal,2
Riera,Naturaleza,Barcelona,9,221,el aeropuerto del Prat,41.297101,2.083262,,Las madres de Laura salen y los padres de Doménica llegan,Laura's parents leave and Doménica's parents arrive,Las señoras Cremona-Hogarth,Real,Víctima,Transport,1
Riera,Naturaleza,Barcelona,9,222,la facultad de Filosofía y Letras,41.503074,2.107820769,,una brigada de limpieza descubre el cuerpo de Bru en el baño,a cleaning crew finds Marcel's body in the bathroom,Cuerpo,Real,Cuerpo,Municipal,1
Riera,Naturaleza,Barcelona,9,245,N-156 y A-7,41.895466,2.774985,,los mozos detectan la furgoneta de Iliescu,The Mozos find Iliescu's van,Iliescu,Real,Sospechoso,Transport,1
Riera,Naturaleza,Barcelona,9,245,Complejo Egara,41.553819,2.067577231,,donde el inspector Lluçanès coordina la operación de encontrar a Iliescu,Llucanes coordinates the operation to detain Iliescu from here,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,9,246,el peaje de Cardedeu-La Roca,41.612769,2.350091,,el lugar elegido para detener a Iliescu mientras conduce hacia Barcelona,The planned stretch of road to capture Iliescu on,Mozos,Real,Investigador,Transport,2
Riera,Naturaleza,Barcelona,9,248,el área de servicio de Montcada,41.493044,2.181911,,Lluçanès y Cañizares esperan a Iliescu aquí,Lluc y Canizares wait for Iliescu here,Mozos,Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,9,253,Nou Barris,41.440542,2.177363,,Iliescu alquila un bajo aquí después de decidir que no quiere vivir con Laura,Iliescu stays here after deciding not to live with Laura,Iliescu,Fictional,Sospechoso,Home,5
Riera,Naturaleza,Barcelona,9,253,Londres,51.507797,-0.123603,,"Iliescu pasa tiempo con un amigo mientras los asesinatos de Doménica, Bru y Bellpuig","This is where Iliescu was when Doménica, Bru and Bellpuig were murdered",Iliescu,Fictional,Sospechoso,Home,5
Riera,Naturaleza,Barcelona,9,254,Aeropuerto de Gerona,41.898416,2.766312,,Iliescu toma un vuelo de Gerona a Londres,Iliescu takes a fight from Gerona to london,Iliescu,Real,Sospechoso,Transport,1
Riera,Naturaleza,Barcelona,10,261,Complejo Egara,41.554359,2.067889,,interrogación de Jaume Pocoví,Pocovi is interrogated here,Pocoví,Real,Sospechoso,Municipal,1
Riera,Naturaleza,Barcelona,10,268,Complejo Egara,41.553819,2.068200769,,Pocoví confiesa,Pocovi confesses,Pocoví,Real,Sospechoso,Municipal,1
Riera,Naturaleza,Barcelona,10,270,"la Vila Universitaria, UAB",41.49993856,2.097066559,,Pocoví también vive aquí,Pocovi lives here as well,Pocoví,Real,Sospechoso,Home,2
Riera,Naturaleza,Barcelona,10,270,la casa de Ana y Pocoví,41.500931,2.090439,,"junto a la estación de Bellaterra, Ana le echa a Pocoví de casa","Ana and Pocovís house, Ana kicks him out",Pocoví,Fictional,Sospechoso,Home,3
Riera,Naturaleza,Barcelona,10,271,"la Vila Universitaria, UAB",41.499684,2.097172,,Pocoví droga a Laura y la mata,Pocovi drugs Laura and kills her,Pocoví,Real,Sospechoso,Home,2
Riera,Naturaleza,Barcelona,10,271,el bosque,41.504672,2.109953,,el loco asalta a Pocoví cuando busca un lugar para dejar el cuerpo de Laura,The crazy guy attacks Pocovi when he looks for a place to leave Laura's body,Pocoví,Real,Sospechoso,Exterior,3
Riera,Naturaleza,Barcelona,10,271,la Mutua de Sabadell,41.550011,2.105143,,Pocoví recibe puntos de sutura,Pocovi gets stitches here,Pocoví,Real,Sospechoso,Municipal,1
